# MvsR for tab1d_cold /home/gieg/projects/eos/RMF3/RMF3_TOV.d
# p_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 5.000000e-05 7.647238e+00 6.643342e-01 6.902277e-01 8.326000e+00 2.008323e+04 8.543706e-04 8.802251e+00
 5.002191e-05 7.647043e+00 6.645209e-01 6.904315e-01 8.326000e+00 2.006248e+04 8.544912e-04 8.802366e+00
 5.004383e-05 7.646847e+00 6.647076e-01 6.906353e-01 8.326000e+00 2.004393e+04 8.546118e-04 8.802481e+00
 5.006576e-05 7.646652e+00 6.648944e-01 6.908392e-01 8.326000e+00 2.000833e+04 8.547325e-04 8.802595e+00
 5.008770e-05 7.646457e+00 6.650812e-01 6.910431e-01 8.326000e+00 1.997886e+04 8.548531e-04 8.802710e+00
 5.010965e-05 7.646261e+00 6.652681e-01 6.912471e-01 8.326000e+00 1.995413e+04 8.549738e-04 8.802825e+00
 5.013160e-05 7.646066e+00 6.654550e-01 6.914511e-01 8.326000e+00 1.992447e+04 8.550945e-04 8.802939e+00
 5.015357e-05 7.645871e+00 6.656419e-01 6.916552e-01 8.326000e+00 1.990044e+04 8.552151e-04 8.803054e+00
 5.017555e-05 7.645675e+00 6.658289e-01 6.918593e-01 8.326000e+00 1.987555e+04 8.553358e-04 8.803169e+00
 5.019753e-05 7.645480e+00 6.660159e-01 6.920635e-01 8.326000e+00 1.984390e+04 8.554565e-04 8.803284e+00
 5.021953e-05 7.644282e+00 6.662030e-01 6.922677e-01 8.325000e+00 1.981774e+04 8.555772e-04 8.802307e+00
 5.024154e-05 7.644086e+00 6.663901e-01 6.924720e-01 8.325000e+00 1.979939e+04 8.556979e-04 8.802422e+00
 5.026355e-05 7.643891e+00 6.665772e-01 6.926763e-01 8.325000e+00 1.977259e+04 8.558187e-04 8.802537e+00
 5.028558e-05 7.643695e+00 6.667644e-01 6.928806e-01 8.325000e+00 1.974155e+04 8.559394e-04 8.802652e+00
 5.030761e-05 7.643499e+00 6.669516e-01 6.930850e-01 8.325000e+00 1.970998e+04 8.560601e-04 8.802767e+00
 5.032966e-05 7.643304e+00 6.671388e-01 6.932895e-01 8.325000e+00 1.968675e+04 8.561809e-04 8.802881e+00
 5.035171e-05 7.643108e+00 6.673261e-01 6.934940e-01 8.325000e+00 1.966089e+04 8.563016e-04 8.802996e+00
 5.037378e-05 7.642912e+00 6.675134e-01 6.936985e-01 8.325000e+00 1.963428e+04 8.564224e-04 8.803111e+00
 5.039585e-05 7.642716e+00 6.677008e-01 6.939031e-01 8.325000e+00 1.960911e+04 8.565432e-04 8.803226e+00
 5.041793e-05 7.642520e+00 6.678882e-01 6.941078e-01 8.325000e+00 1.957862e+04 8.566640e-04 8.803341e+00
 5.044003e-05 7.641322e+00 6.680756e-01 6.943125e-01 8.324000e+00 1.955551e+04 8.567848e-04 8.802365e+00
 5.046213e-05 7.641126e+00 6.682631e-01 6.945172e-01 8.324000e+00 1.953458e+04 8.569056e-04 8.802480e+00
 5.048424e-05 7.640930e+00 6.684506e-01 6.947220e-01 8.324000e+00 1.950551e+04 8.570264e-04 8.802595e+00
 5.050636e-05 7.640734e+00 6.686381e-01 6.949268e-01 8.324000e+00 1.947347e+04 8.571472e-04 8.802710e+00
 5.052849e-05 7.640538e+00 6.688257e-01 6.951317e-01 8.324000e+00 1.944744e+04 8.572680e-04 8.802825e+00
 5.055064e-05 7.640341e+00 6.690133e-01 6.953366e-01 8.324000e+00 1.942399e+04 8.573889e-04 8.802940e+00
 5.057279e-05 7.640145e+00 6.692010e-01 6.955416e-01 8.324000e+00 1.939680e+04 8.575097e-04 8.803055e+00
 5.059495e-05 7.639949e+00 6.693887e-01 6.957466e-01 8.324000e+00 1.937131e+04 8.576306e-04 8.803170e+00
 5.061712e-05 7.639753e+00 6.695764e-01 6.959517e-01 8.324000e+00 1.934307e+04 8.577515e-04 8.803285e+00
 5.063930e-05 7.639556e+00 6.697642e-01 6.961568e-01 8.324000e+00 1.931672e+04 8.578724e-04 8.803400e+00
 5.066149e-05 7.638358e+00 6.699520e-01 6.963620e-01 8.323000e+00 1.929845e+04 8.579933e-04 8.802424e+00
 5.068369e-05 7.638161e+00 6.701399e-01 6.965672e-01 8.323000e+00 1.927208e+04 8.581142e-04 8.802539e+00
 5.070590e-05 7.637965e+00 6.703278e-01 6.967724e-01 8.323000e+00 1.924140e+04 8.582351e-04 8.802654e+00
 5.072812e-05 7.637768e+00 6.705157e-01 6.969777e-01 8.323000e+00 1.921171e+04 8.583560e-04 8.802769e+00
 5.075035e-05 7.637572e+00 6.707037e-01 6.971831e-01 8.323000e+00 1.918812e+04 8.584769e-04 8.802885e+00
 5.077259e-05 7.637375e+00 6.708917e-01 6.973885e-01 8.323000e+00 1.916364e+04 8.585979e-04 8.803000e+00
 5.079483e-05 7.637178e+00 6.710798e-01 6.975940e-01 8.323000e+00 1.913761e+04 8.587188e-04 8.803115e+00
 5.081709e-05 7.636982e+00 6.712678e-01 6.977995e-01 8.323000e+00 1.911198e+04 8.588398e-04 8.803230e+00
 5.083936e-05 7.636785e+00 6.714560e-01 6.980050e-01 8.323000e+00 1.908207e+04 8.589608e-04 8.803346e+00
 5.086164e-05 7.636588e+00 6.716441e-01 6.982106e-01 8.323000e+00 1.906160e+04 8.590818e-04 8.803461e+00
 5.088392e-05 7.635389e+00 6.718323e-01 6.984162e-01 8.322000e+00 1.903950e+04 8.592028e-04 8.802484e+00
 5.090622e-05 7.635192e+00 6.720206e-01 6.986219e-01 8.322000e+00 1.900929e+04 8.593238e-04 8.802600e+00
 5.092853e-05 7.634995e+00 6.722088e-01 6.988277e-01 8.322000e+00 1.897981e+04 8.594448e-04 8.802715e+00
 5.095085e-05 7.634798e+00 6.723972e-01 6.990334e-01 8.322000e+00 1.895597e+04 8.595658e-04 8.802831e+00
 5.097317e-05 7.634601e+00 6.725855e-01 6.992393e-01 8.322000e+00 1.893114e+04 8.596869e-04 8.802946e+00
 5.099551e-05 7.634404e+00 6.727739e-01 6.994452e-01 8.322000e+00 1.890600e+04 8.598079e-04 8.803062e+00
 5.101785e-05 7.634207e+00 6.729623e-01 6.996511e-01 8.322000e+00 1.888241e+04 8.599290e-04 8.803177e+00
 5.104021e-05 7.634010e+00 6.731508e-01 6.998571e-01 8.322000e+00 1.885144e+04 8.600500e-04 8.803293e+00
 5.106258e-05 7.633813e+00 6.733393e-01 7.000631e-01 8.322000e+00 1.882927e+04 8.601711e-04 8.803408e+00
 5.108495e-05 7.633615e+00 6.735279e-01 7.002692e-01 8.322000e+00 1.881192e+04 8.602922e-04 8.803524e+00
 5.110734e-05 7.632416e+00 6.737165e-01 7.004753e-01 8.321000e+00 1.878133e+04 8.604133e-04 8.802547e+00
 5.112973e-05 7.632219e+00 6.739051e-01 7.006814e-01 8.321000e+00 1.875337e+04 8.605344e-04 8.802662e+00
 5.115214e-05 7.632022e+00 6.740937e-01 7.008877e-01 8.321000e+00 1.872746e+04 8.606556e-04 8.802778e+00
 5.117455e-05 7.631824e+00 6.742824e-01 7.010939e-01 8.321000e+00 1.870039e+04 8.607767e-04 8.802894e+00
 5.119698e-05 7.631627e+00 6.744712e-01 7.013002e-01 8.321000e+00 1.867835e+04 8.608979e-04 8.803009e+00
 5.121941e-05 7.631429e+00 6.746600e-01 7.015066e-01 8.321000e+00 1.865532e+04 8.610190e-04 8.803125e+00
 5.124185e-05 7.631232e+00 6.748488e-01 7.017130e-01 8.321000e+00 1.862669e+04 8.611402e-04 8.803241e+00
 5.126431e-05 7.631034e+00 6.750376e-01 7.019195e-01 8.321000e+00 1.859935e+04 8.612614e-04 8.803356e+00
 5.128677e-05 7.630836e+00 6.752265e-01 7.021260e-01 8.321000e+00 1.858339e+04 8.613826e-04 8.803472e+00
 5.130925e-05 7.630639e+00 6.754154e-01 7.023325e-01 8.321000e+00 1.855858e+04 8.615038e-04 8.803588e+00
 5.133173e-05 7.629439e+00 6.756044e-01 7.025391e-01 8.320000e+00 1.852800e+04 8.616250e-04 8.802611e+00
 5.135422e-05 7.629241e+00 6.757934e-01 7.027457e-01 8.320000e+00 1.850179e+04 8.617462e-04 8.802727e+00
 5.137673e-05 7.629043e+00 6.759825e-01 7.029524e-01 8.320000e+00 1.847742e+04 8.618675e-04 8.802842e+00
 5.139924e-05 7.628846e+00 6.761716e-01 7.031592e-01 8.320000e+00 1.845260e+04 8.619887e-04 8.802958e+00
 5.142176e-05 7.628648e+00 6.763607e-01 7.033660e-01 8.320000e+00 1.843014e+04 8.621100e-04 8.803074e+00
 5.144430e-05 7.628450e+00 6.765498e-01 7.035728e-01 8.320000e+00 1.840446e+04 8.622313e-04 8.803190e+00
 5.146684e-05 7.628252e+00 6.767390e-01 7.037797e-01 8.320000e+00 1.837377e+04 8.623526e-04 8.803306e+00
 5.148939e-05 7.628054e+00 6.769283e-01 7.039866e-01 8.320000e+00 1.835656e+04 8.624739e-04 8.803422e+00
 5.151195e-05 7.627856e+00 6.771176e-01 7.041936e-01 8.320000e+00 1.833519e+04 8.625952e-04 8.803538e+00
 5.153453e-05 7.627658e+00 6.773069e-01 7.044006e-01 8.320000e+00 1.830509e+04 8.627165e-04 8.803654e+00
 5.155711e-05 7.627459e+00 6.774962e-01 7.046077e-01 8.320000e+00 1.827899e+04 8.628379e-04 8.803770e+00
 5.157970e-05 7.626259e+00 6.776856e-01 7.048148e-01 8.319000e+00 1.825325e+04 8.629592e-04 8.802793e+00
 5.160230e-05 7.626061e+00 6.778751e-01 7.050220e-01 8.319000e+00 1.822949e+04 8.630806e-04 8.802908e+00
 5.162491e-05 7.625863e+00 6.780645e-01 7.052292e-01 8.319000e+00 1.820750e+04 8.632020e-04 8.803024e+00
 5.164754e-05 7.625664e+00 6.782540e-01 7.054365e-01 8.319000e+00 1.818262e+04 8.633233e-04 8.803141e+00
 5.167017e-05 7.625466e+00 6.784436e-01 7.056438e-01 8.319000e+00 1.815435e+04 8.634447e-04 8.803257e+00
 5.169281e-05 7.625268e+00 6.786332e-01 7.058512e-01 8.319000e+00 1.813314e+04 8.635662e-04 8.803373e+00
 5.171546e-05 7.625069e+00 6.788228e-01 7.060586e-01 8.319000e+00 1.811368e+04 8.636876e-04 8.803489e+00
 5.173812e-05 7.624871e+00 6.790124e-01 7.062660e-01 8.319000e+00 1.808666e+04 8.638090e-04 8.803605e+00
 5.176079e-05 7.624672e+00 6.792021e-01 7.064735e-01 8.319000e+00 1.806029e+04 8.639305e-04 8.803721e+00
 5.178348e-05 7.624474e+00 6.793919e-01 7.066811e-01 8.319000e+00 1.803309e+04 8.640520e-04 8.803837e+00
 5.180617e-05 7.624275e+00 6.795817e-01 7.068887e-01 8.319000e+00 1.800977e+04 8.641734e-04 8.803953e+00
 5.182887e-05 7.623074e+00 6.797715e-01 7.070964e-01 8.318000e+00 1.798806e+04 8.642949e-04 8.802976e+00
